Estimate,SE
21.289835,0.7192574157
20.856203,0.7125824593
20.052912,1.2899894213
19.282444,0.4469313997
20.68894,0.9996369841
19.048557,0.2474663399
19.956038,0.1926496345
19.661098,0.7153999355
21.013798,0.3975866287
18.828882,0.7596242582
20.481846,1.0626480889
20.819784,0.9149690208
19.622871,0.7667261344
20.458063,0.8350171413
21.13239,0.9694737302
19.587786,1.0464679299
20.920769,0.9844540112
20.2116,0.4778466514
18.941057,0.9722654976
20.237444,0.9774671126
20.830872,0.7480001683
19.647314,0.4917318738
19.760286,0.4700592673
19.68496,0.816700022
20.09049,0.6790279472
19.892448,0.8303735265
18.955729,0.5618061861
19.080242,0.533203923
21.251003,0.9387778936
20.326607,0.9927703553
20.974037,0.321849432
21.23219,1.0970924807
19.438854,0.6087296001
21.035025,0.6078804372
19.415403,1.5905397791
20.76173,0.6070748929
19.304651,0.2223697011
21.27949,0.5084288357
20.050383,0.5706373111
20.671137,1.1652684539
20.744293,1.2564311135
18.992561,0.5202149528
21.071161,0.9417078689
19.25959,1.0150319897
20.594072,1.1515892608
20.27402,0.9471730694
19.837852,0.7257912127
21.306908,0.3323382823
19.932756,1.0264693599
21.194899,0.5009240663
21.327982,0.6057189808
19.273687,1.1882036489
20.417267,0.4457966574
20.355162,0.8760344213
19.807428,1.0951059838
20.087269,0.9311270656
20.334343,0.7076748567
19.882166,0.7453232343
21.666801,0.5599182285
19.972164,0.8208579777
19.602106,0.8576477787
19.39652,0.5812468486
20.487822,0.4497796084
19.627626,0.5007496269
18.972612,0.9515555543
20.235266,1.2745738384
20.593962,0.8020303769
20.775248,0.409778149
19.744324,0.817600361
16.436743,0.498858593
20.30196,0.9396822458
20.24383,1.0745535812
18.458216,0.5053542175
19.935978,0.3894727118
19.232607,1.0868228369
19.683056,1.9317095766
20.996931,0.4567752872
21.016413,0.5240811771
18.74964,1.7120368761
19.246254,0.9988661849
20.261797,0.3466119582
20.578173,0.6326801845
19.097593,1.1751240295
19.76009,1.203345098
19.781075,0.3410214655
19.967073,0.3554486068
20.024004,1.023412355
19.963842,0.7926324627
19.070807,1.0746655508
20.22299,0.8054230479
18.90725,1.0698339493
19.661123,0.7996385589
21.169209,1.2291092551
19.582148,0.5699671995
20.123934,0.8201495458
19.290462,0.5215944261
19.922466,0.7943852518
19.918667,0.0854917342
20.27415,0.6427821182
17.725262,0.5636184994
20.225563,0.9050052319
19.606989,0.7007443114
20.809519,0.4868706681
20.342169,0.8156889845
19.471682,0.746669459
21.452637,0.9491544654
19.637568,0.405399871
20.743414,1.0217716361
19.661974,0.7897479956
20.11666,0.5007890371
20.625984,0.3271525665
21.382423,0.6536281264
20.112112,0.5132115518
19.926527,0.6970126284
20.286783,0.9347521854
21.375908,0.6968573458
19.045235,0.7252917296
21.606083,0.7016944579
20.56091,0.6062382292
20.800604,0.3806962339
20.549341,0.3840374054
19.28703,0.4674614034
19.2059,0.2547083188
19.690252,0.8331873394
19.539818,0.9292727103
21.233877,1.1641506373
20.460238,0.7728101973
19.315672,0.5675501798
19.921326,0.3841244666
20.663652,0.7933728276
21.244032,1.1352610827
20.338839,0.7962392671
20.17177,1.2021733598
19.534311,0.6177141131
21.77336,0.7305881583
18.489922,1.0619830166
20.717644,0.6258639004
20.316263,0.4803187745
20.58851,0.3082293959
19.027052,0.454596764
21.309584,0.8492700126
20.768803,0.5759477069
20.425621,0.6944228734
21.598555,1.097358212
20.696705,0.6417093974
19.632507,1.2377940681
19.632803,0.7579225016
20.363628,0.8053873951
20.594652,0.9504240423
21.654911,0.8589976431
